timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01 00:00:00,30000.83,30006.68,29999.93,30005.58,73.91065,2217731.71
2024-01-01 00:01:00,30016.57,30016.91,30010.96,30012.65,3.949925,118547.69
2024-01-01 00:02:00,30001.44,30001.55,30000.6,30001.39,65.338559,1960247.64
2024-01-01 00:03:00,30000.39,30005.55,29997.15,30003.19,1.643377,49306.56
2024-01-01 00:04:00,30017.4,30018.76,30014.8,30015.42,95.764094,2874399.6
2024-01-01 00:05:00,30004.81,30009.27,30001.42,30008.88,60.768877,1823606.23
2024-01-01 00:06:00,30023.47,30025.61,30017.28,30021.17,38.474903,1155061.61
2024-01-01 00:07:00,30026.55,30029.02,30019.8,30023.25,58.157862,1746088.13
2024-01-01 00:08:00,30026.89,30032.35,30025.74,30031.43,8.899406,267261.92
2024-01-01 00:09:00,30016.76,30021.86,30014.21,30020.75,37.118386,1114321.63
2024-01-01 00:10:00,30012.65,30016.62,30008.9,30015.55,65.155503,1955678.48
2024-01-01 00:11:00,30016.63,30022.84,30015.98,30019.92,38.566089,1157750.84
2024-01-01 00:12:00,30040.9,30043.13,30036.76,30039.5,84.44234,2536605.63
2024-01-01 00:13:00,30047.83,30050.67,30046.57,30050.54,27.506347,826580.56
2024-01-01 00:14:00,30043.41,30046.91,30037.72,30038.98,65.888428,1979221.09
2024-01-01 00:15:00,30038.95,30040.78,30033.74,30034.8,25.416123,763368.28
2024-01-01 00:16:00,30034.89,30039.6,30031.29,30037.26,40.54065,1217730.0
2024-01-01 00:17:00,30031.01,30033.05,30025.67,30026.03,5.664521,170083.09
2024-01-01 00:18:00,30011.69,30014.86,30008.73,30010.42,7.289243,218753.22
2024-01-01 00:19:00,30010.64,30012.76,30001.8,30005.68,86.217191,2587005.63
2024-01-01 00:20:00,29988.35,29991.08,29983.99,29986.14,27.415694,822090.88
2024-01-01 00:21:00,29987.9,29993.52,29986.08,29991.78,95.427777,2862048.89
2024-01-01 00:22:00,30004.45,30008.82,30003.73,30006.81,91.350156,2741127.16
2024-01-01 00:23:00,30019.62,30024.19,30017.18,30021.63,16.131088,484281.62
2024-01-01 00:24:00,30032.53,30035.64,30030.01,30032.14,1.056618,31732.49
2024-01-01 00:25:00,30020.3,30028.82,30016.78,30025.1,83.334887,2502138.46
2024-01-01 00:26:00,30012.98,30020.91,30009.19,30017.4,9.479692,284555.72
2024-01-01 00:27:00,30012.53,30019.88,30009.47,30016.84,13.710755,411553.56
2024-01-01 00:28:00,30016.35,30017.41,30012.36,30015.85,42.890656,1287399.63
2024-01-01 00:29:00,30004.72,30007.64,30003.52,30004.32,31.859913,955935.18
2024-01-01 00:30:00,30025.63,30027.38,30022.06,30024.13,12.979415,389695.67
